University,Latitude,Longitude
MASSACHUSETTS INSTITUTE OF TECHNOLOGY (MIT),42.360091,-71.09416
STANFORD UNIVERSITY,37.4274745,-122.169719
HARVARD UNIVERSITY,42.3770029,-71.11666009999999
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),34.1376576,-118.125269
UNIVERSITY OF OXFORD,51.7548164,-1.2543668
UNIVERSITY OF CAMBRIDGE,52.2042666,0.1149085
ETH ZURICH (SWISS FEDERAL INSTITUTE OF TECHNOLOGY),47.376313,8.547669899999999
IMPERIAL COLLEGE LONDON,51.49879970000001,-0.1748772
UNIVERSITY OF CHICAGO,41.7886079,-87.5987133
UCL (UNIVERSITY COLLEGE LONDON),51.52427530000001,-0.1333603
NATIONAL UNIVERSITY OF SINGAPORE (NUS),1.2966426,103.7763939
NANYANG TECHNOLOGICAL UNIVERSITY (NTU),1.3483099,103.6831347
PRINCETON UNIVERSITY,40.3430942,-74.65507389999999
CORNELL UNIVERSITY,42.4534492,-76.4735027
YALE UNIVERSITY,41.3163244,-72.92234309999999
COLUMBIA UNIVERSITY,40.8075355,-73.9625727
TSINGHUA UNIVERSITY,39.9996674,116.3264439
UNIVERSITY OF EDINBURGH,55.9445158,-3.1892413
UNIVERSITY OF PENNSYLVANIA,39.9522188,-75.1932137
UNIVERSITY OF MICHIGAN,42.2780436,-83.7382241
JOHNS HOPKINS UNIVERSITY,39.3299013,-76.6205177
ÉCOLE POLYTECHNIQUE FÉDÉRALE DE LAUSANNE (EPFL),46.5190557,6.5667576
THE UNIVERSITY OF TOKYO,35.7126775,139.761989
AUSTRALIAN NATIONAL UNIVERSITY (ANU),-35.2776999,149.118527
UNIVERSITY OF HONG KONG (HKU),22.2829989,114.1370848
DUKE UNIVERSITY,36.0014258,-78.9382286
"UNIVERSITY OF CALIFORNIA, BERKELEY (UCB)",37.8718992,-122.2585399
UNIVERSITY OF TORONTO,43.6628917,-79.39565640000001
THE UNIVERSITY OF MANCHESTER,53.4668498,-2.2338837
PEKING UNIVERSITY,39.986913,116.3058739
KING'S COLLEGE LONDON (KCL),51.5114864,-0.115997
"UNIVERSITY OF CALIFORNIA, LOS ANGELES (UCLA)",34.068921,-118.4451811
NORTHWESTERN UNIVERSITY,42.0564594,-87.67526699999999
KYOTO UNIVERSITY,35.0262444,135.7808218
SEOUL NATIONAL UNIVERSITY (SNU),37.459882,126.9519053
THE HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY (HKUST),22.3363998,114.2654655
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE (LSE),51.5144388,-0.1164513
THE UNIVERSITY OF MELBOURNE,-37.7983459,144.960974
KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,36.3721427,127.36039
"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",32.8800604,-117.2340135
THE UNIVERSITY OF SYDNEY,-33.888584,151.1873473
NEW YORK UNIVERSITY (NYU),40.72951339999999,-73.9964609
FUDAN UNIVERSITY,31.2974197,121.5036178
THE UNIVERSITY OF NEW SOUTH WALES (UNSW),-33.917347,151.2312675
CARNEGIE MELLON UNIVERSITY,40.4428081,-79.94301279999999
UNIVERSITY OF BRITISH COLUMBIA,49.26060520000001,-123.2459938
THE UNIVERSITY OF QUEENSLAND (UQ),-27.4975028,153.0136905
THE CHINESE UNIVERSITY OF HONG KONG (CUHK),22.4195827,114.2067604
PSL UNIVERSITY,48.8546601,2.3378212
UNIVERSITY OF BRISTOL,51.4584172,-2.6029792
DELFT UNIVERSITY OF TECHNOLOGY,52.0021256,4.3732982
UNIVERSITY OF WISCONSIN-MADISON,43.076592,-89.4124875
THE UNIVERSITY OF WARWICK,52.3792525,-1.5614704
CITY UNIVERSITY OF HONG KONG,22.3366793,114.1724234
BROWN UNIVERSITY,41.8267718,-71.4025482
UNIVERSITY OF AMSTERDAM,52.35581819999999,4.955726299999999
TOKYO INSTITUTE OF TECHNOLOGY,35.6051229,139.6835302
MONASH UNIVERSITY,-37.9105238,145.1362182
SHANGHAI JIAO TONG UNIVERSITY,31.0252201,121.4337784
TECHNISCHE UNIVERSITÄT MÜNCHEN,48.14966,11.5678602
LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN,48.1504827,11.5802362
UNIVERSITY OF TEXAS AT AUSTIN,30.2849185,-97.7340567
RUPRECHT-KARLS-UNIVERSITÄT HEIDELBERG,49.4191402,8.670249199999999
ECOLE POLYTECHNIQUE,48.7142971,2.2112917
UNIVERSITY OF WASHINGTON,47.7589,-122.1906495
OSAKA UNIVERSITY,34.8220139,135.5244676
ZHEJIANG UNIVERSITY,30.30868439999999,120.0864995
GEORGIA INSTITUTE OF TECHNOLOGY (GEORGIA TECH),33.7756178,-84.39628499999999
UNIVERSITY OF GLASGOW,55.87212109999999,-4.288200499999999
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,40.1019523,-88.2271615
NATIONAL TAIWAN UNIVERSITY (NTU),25.0173405,121.5397518
UNIVERSIDAD DE BUENOS AIRES,-34.5998875,-58.37306949999999
DURHAM UNIVERSITY,54.7649859,-1.5782029
SORBONNE UNIVERSITY,48.8484556,2.3432774
THE UNIVERSITY OF SHEFFIELD,53.3809409,-1.4879469
TOHOKU UNIVERSITY,38.253834,140.874074
UNIVERSITY OF ZURICH,47.3743221,8.550981199999999
UNIVERSITY OF BIRMINGHAM,52.4508168,-1.9305135
UNIVERSITY OF COPENHAGEN,55.6802303,12.5724096
KATHOLIEKE UNIVERSITEIT LEUVEN,50.87795449999999,4.7002953
THE UNIVERSITY OF NOTTINGHAM,52.938636,-1.1951582
POHANG UNIVERSITY OF SCIENCE AND TECHNOLOGY (POSTECH),36.0138857,129.3231836
"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",35.9049122,-79.0469134
THE UNIVERSITY OF AUCKLAND,-36.8523378,174.7691073
KOREA UNIVERSITY,37.590799,127.0277773
RICE UNIVERSITY,29.7173941,-95.40183119999999
UNIVERSITI MALAYA (UM),3.1201011,101.6543993
OHIO STATE UNIVERSITY,40.0068363,-83.0306222
LOMONOSOV MOSCOW STATE UNIVERSITY,55.70393490000001,37.5286696
THE UNIVERSITY OF WESTERN AUSTRALIA (UWA),-31.98006869999999,115.817898
LUND UNIVERSITY,55.7119483,13.203493
BOSTON UNIVERSITY,42.3504997,-71.1053991
UNIVERSITY OF LEEDS,53.8066815,-1.5550328
PENNSYLVANIA STATE UNIVERSITY,40.7982133,-77.8599084
UNIVERSITY OF SOUTHAMPTON,50.9614912,-1.4252228
UNIVERSITY OF ST ANDREWS,56.3417136,-2.7942674
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,31.821994,117.28059
EINDHOVEN UNIVERSITY OF TECHNOLOGY,51.44860980000001,5.4907148
PURDUE UNIVERSITY,40.4237054,-86.92119459999999
SUNGKYUNKWAN UNIVERSITY,37.588227,126.993606
"UNIVERSITY OF CALIFORNIA, DAVIS (UCD)",38.5382322,-121.7617125
WASHINGTON UNIVERSITY IN ST. LOUIS,38.6487895,-90.31079620000001
"KTH, ROYAL INSTITUTE OF TECHNOLOGY",59.34980649999999,18.0706646
TRINITY COLLEGE DUBLIN (TCD),53.3437935,-6.254571599999999
THE HONG KONG POLYTECHNIC UNIVERSITY,22.3043097,114.1796242
YONSEI UNIVERSITY,37.565784,126.938572
UNIVERSITY OF GENEVA,46.199444,6.1451157
UNIVERSITY OF ALBERTA,53.5232189,-113.5263186
UNIVERSITY OF HELSINKI,60.1726348,24.9510419
NAGOYA UNIVERSITY,35.1538518,136.9682397
TECHNICAL UNIVERSITY OF DENMARK,55.7855742,12.521381
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM),19.3188895,-99.1843676
THE UNIVERSITY OF ADELAIDE,-34.920603,138.6062277
UNIVERSITY OF SOUTHERN CALIFORNIA,34.0223519,-118.285117
"KIT, KARLSRUHER INSTITUT FÜR TECHNOLOGIE",49.0119199,8.4170303
UPPSALA UNIVERSITY,59.85090049999999,17.6300093
UNIVERSIDADE DE SÃO PAULO (USP),-23.5613991,-46.7307891
QUEEN MARY UNIVERSITY OF LONDON (QMUL),51.5176409,-0.06086569999999999
UNIVERSITY OF GRONINGEN,53.2192634,6.562987199999999
HUMBOLDT-UNIVERSITÄT ZU BERLIN,52.517883,13.3936551
LEIDEN UNIVERSITY,52.1571485,4.485209
NANJING UNIVERSITY,32.0568391,118.7789602
UTRECHT UNIVERSITY,52.0901527,5.1226018
