,University,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Blackwell's,51.75463543031628,-1.2555174561115983,Bookstore
1,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Ben's Cookies,51.75241853068597,-1.2564784100690305,Dessert Shop
2,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Radcliffe Square,51.753114498948314,-1.2536177858088309,Plaza
3,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Turf Tavern,51.754657,-1.253032,Pub
4,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Blackwell's Art & Poster Shop,51.75430276910586,-1.2564126335871153,Art Gallery
5,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Vaults & Garden Café,51.753019186091656,-1.2535886127886484,Café
6,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Alternative Tuck Shop,51.75510588154324,-1.2517971616863814,Sandwich Place
7,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Bridge of Sighs,51.75448214060708,-1.253934321507469,Bridge
8,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Bear Inn,51.751560777994,-1.2556817398638032,Pub
9,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Museum of the History of Science,51.7544040888726,-1.2553407964831549,Science Museum
10,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,iScream,51.752503,-1.256394,Ice Cream Shop
11,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Skogen Kitchen,51.752086,-1.25472,Scandinavian Restaurant
12,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The Covered Market,51.75267846800717,-1.2565772171076541,Market
13,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Varsity Club Roof Terrace,51.752400601566784,-1.2569926157904112,Roof Deck
14,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Paul,51.75209076507254,-1.2572516897365595,Bakery
15,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Pieminister,51.75284671895455,-1.2567971511663008,Pie Shop
16,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Jericho Coffee Traders,51.75230070447983,-1.2552523612976074,Coffee Shop
17,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,The White Horse,51.754500999898795,-1.2555831675705706,Pub
18,UNIVERSITY OF OXFORD,51.753453799999996,-1.2540099704885501,Moo-Moo's,51.75241546082015,-1.2568122683393688,Juice Bar
